Bdl;Tpl/Str;Typ - undertyp;UNE;Spår nr;Ägare;B-klass;Mall;Benämning;Km + m fr;Km + m ti;OFP-Bes.
422;STÖ;Spårväxel - EV-SJ50-11-1:9;;1;Syd;B2;Ja;105;144+ 971;144+ 982;2014-08-29
111;VJ;Spårväxel - EV-BV50-300-1:9;;2;Nord;B2;Ja;3;1535+ 252;1535+ 269;2012-05-30
111;VJ;Spårväxel - EV-UIC60-760-1:15;;2;Nord;B2;Ja;4a;1534+ 729;1534+ 754;2012-05-30
502;LP;Spårväxel - EV-SJ50-11-1:9;;21b;Syd;B1;Ja;1124;230+ 288;230+ 300;2012-03-19
111;KÅ;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B3;Ja;3a;1524+ 614;1524+ 631;2014-06-19
111;KÅ;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B3;Ja;4a;1524+ 324;1524+ 336;2014-06-19
502;LP;Spårväxel - EV-SJ50-11-1:9;;sidosp.;Syd;B1;Ja;1013;229+ 168;229+ 180;2012-03-19
502;LP;Spårväxel - EV-SJ50-11-1:9;;tullspår;Syd;B1;Ja;1005;228+ 792;228+ 804;2012-03-19
502;LP;Spårväxel - EV-SJ43-5,9-1:9;;bv1;Syd;B1;Ja;1004;228+ 619;228+ 631;2012-03-19
502;LP;Spårväxel - EV-SJ43-5,9-1:9;;bv2;Syd;B1;Ja;1003;228+ 563;228+ 580;2012-03-19
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;54;Syd;B1;Ja;1024;180+ 336;180+ 354;2012-03-20
111;AK;Spårväxel - EV-SJ50-11-1:9;;7;Nord;B1;Ja;31;1505+ 516;1505+ 527;
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;54;Syd;B1;Ja;1005;180+   7;180+  24;2012-03-20
111;AK;Spårväxel - EV-SJ50-11-1:9;;9;Nord;B1;Ja;35;1505+ 482;1505+ 494;
111;AK;Spårväxel - EV-SJ50-11-1:9;;7;Nord;B1;Ja;34;1505+ 455;1505+ 466;
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;55;Syd;B1;Ja;1008;179+ 971;179+ 983;2012-03-20
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;57;Syd;B1;Ja;1002a;179+ 850;179+ 867;2012-03-20
